operation,direction_key,slope,signed_slope,line_bin_width,line_id,n_pixels_used,used_fallback,line_median,global_median,stripe_offset_subtracted
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,-97,3,0,nan,0.0006766097436699554,0.0
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,-96,7,0,-0.07952834516977914,0.0006766097436699554,-0.08020495491344909
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,-95,11,0,-0.0703145204441516,0.0006766097436699554,-0.07099113018782155
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,-94,17,0,-0.06259557547397566,0.0006766097436699554,-0.06327218521764562
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,-93,21,0,-0.019730502324109125,0.0006766097436699554,-0.02040711206777908
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,-92,25,0,-0.042977120351544634,0.0006766097436699554,-0.04365373009521459
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,-91,29,0,-0.03119198587930234,0.0006766097436699554,-0.0318685956229723
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,-90,33,0,-0.020371058844481125,0.0006766097436699554,-0.021047668588151082
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,-89,37,0,-0.02753575660712483,0.0006766097436699554,-0.028212366350794785
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,-88,41,0,-0.04008035233193917,0.0006766097436699554,-0.040756962075609124
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,-87,45,0,-0.0251054389598845,0.0006766097436699554,-0.025782048703554453
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,-86,49,0,-0.005885830611250594,0.0006766097436699554,-0.00656244035492055
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,-85,53,0,-0.017724500110367736,0.0006766097436699554,-0.018401109854037694
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,-84,57,0,-0.014365545784516036,0.0006766097436699554,-0.015042155528185991
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,-83,61,0,-0.021909904462056873,0.0006766097436699554,-0.022586514205726826
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,-82,65,0,-0.010254912710923918,0.0006766097436699554,-0.010931522454593874
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,-81,69,0,-0.02085647432497183,0.0006766097436699554,-0.021533084068641788
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,-80,73,0,-0.004118652714179808,0.0006766097436699554,-0.004795262457849763
